# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    222     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    223     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    152     49      -     17      3      0      0      0      0  10251   2790  17806  17806      0 
    0    202     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     52      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     51      -     80     91      0      0      0      0  10251   2790  17806  17806      0 
    0    153     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    223     52      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    223     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    172     50      -     20      4      0      0      0      0  10251   2790  17806  17806      0 
    0    187     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     53      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    144     51      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    217     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    218     52      -     93    100      0      0      0      0  10251   2790  17806  17806      0 
    0    219     52      -     92    100      0      0      0      0  10251   2790  17806  17806      0 
    0    220     52      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    221     53      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    223     53      -     94    100      0      0      0      0  10251   2790  17806  17806      0 
    0    216     53      -     55     57      0      0      0      0  10251   2775  17806  17806      0 
    0    150     52      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    218     52      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    221     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    223     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    224     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    180     50      -     19      4      0      0      0      0  10251   2775  17806  17806      0 
    0    178     52      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    221     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    224     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    149     50      -     68     79      0      0      0      0  10251   2775  17806  17806      0 
    0    214     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    218     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     92    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    221     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    223     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     72     81      0      0      0      0  10251   2775  17806  17806      0 
    0    150     52      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    218     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    221     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    224     53      -     95    100      0      0      0      0  10251   2775  17806  17806      0 
    0    225     53      -     92    100      0      0      0      0  10251   2775  17806  17806      0 
    0    183     51      -     19      4      0      0      0      0  10251   2775  17806  17806      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    175     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     92    100      0      0      0      0  10251   2775  17806  17806      0 
    0    220     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    221     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    222     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    223     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    224     53      -     93    100      0      0      0      0  10251   2775  17806  17806      0 
    0    204     51      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    156     53      -     39     37      0      0      0      0  10251   2775  17806  17806      0 
    0    218     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
    0    219     53      -     94    100      0      0      0      0  10251   2775  17806  17806      0 
